Date,HSI
8/4/2024,16732.84961
9/4/2024,16828.07031
10/4/2024,17139.16992
11/4/2024,17095.0293
12/4/2024,16721.68945
15/4/2024,16600.46094
16/4/2024,16248.96973
17/4/2024,16251.83984
18/4/2024,16385.86914
19/4/2024,16224.13965
22/4/2024,16511.68945
23/4/2024,16828.92969
24/4/2024,17201.26953
25/4/2024,17284.53906
26/4/2024,17651.15039
29/4/2024,17746.91016
30/4/2024,17763.0293
2/5/2024,18207.13086
3/5/2024,18475.91992
6/5/2024,18578.30078
7/5/2024,18479.36914
8/5/2024,18313.85938
9/5/2024,18537.81055
10/5/2024,18963.67969
13/5/2024,19115.06055
14/5/2024,19073.71094
16/5/2024,19376.5293
17/5/2024,19553.60938
20/5/2024,19636.2207
21/5/2024,19220.61914
22/5/2024,19195.59961
23/5/2024,18868.71094
24/5/2024,18608.93945
27/5/2024,18827.34961
28/5/2024,18821.16016
29/5/2024,18477.00977
30/5/2024,18230.18945
31/5/2024,18079.60938
3/6/2024,18403.03906
4/6/2024,18444.10938
5/6/2024,18424.96094
6/6/2024,18476.80078
7/6/2024,18366.94922
11/6/2024,18176.33984
12/6/2024,17937.83984
13/6/2024,18112.63086
14/6/2024,17941.7793
17/6/2024,17936.11914
18/6/2024,17915.55078
19/6/2024,18430.39063
20/6/2024,18335.32031
21/6/2024,18028.51953
24/6/2024,18027.71094
25/6/2024,18072.90039
26/6/2024,18089.92969
27/6/2024,17716.4707
28/6/2024,17718.60938
2/7/2024,17769.14063
3/7/2024,17978.57031
4/7/2024,18028.2793
5/7/2024,17799.60938
8/7/2024,17524.06055
9/7/2024,17523.23047
10/7/2024,17471.66992
11/7/2024,17832.33008
12/7/2024,18293.38086
15/7/2024,18015.93945
16/7/2024,17727.98047
17/7/2024,17739.41016
18/7/2024,17778.41016
19/7/2024,17417.67969
22/7/2024,17635.88086
23/7/2024,17469.35938
24/7/2024,17311.05078
25/7/2024,17021.91016
26/7/2024,17021.31055
29/7/2024,17238.33984
30/7/2024,17002.91016
31/7/2024,17344.59961
1/8/2024,17304.96094
2/8/2024,16945.50977
5/8/2024,16698.35938
6/8/2024,16647.33984
7/8/2024,16877.85938
8/8/2024,16891.83008
9/8/2024,17090.23047
12/8/2024,17111.65039
13/8/2024,17174.06055
14/8/2024,17113.35938
15/8/2024,17109.14063
16/8/2024,17430.16016
19/8/2024,17569.57031
20/8/2024,17511.08008
21/8/2024,17391.00977
22/8/2024,17641
23/8/2024,17612.09961
26/8/2024,17798.73047
27/8/2024,17874.66992
28/8/2024,17692.44922
29/8/2024,17786.32031
30/8/2024,17989.07031
2/9/2024,17691.9707
3/9/2024,17651.49023
4/9/2024,17457.33984
5/9/2024,17444.30078
9/9/2024,17196.96094
